Year,Unemployment rate (%),Vacancy rate (%)
1929.25,0.0321633044,0.026943479
1929.33333333333,0.0292043486,0.0261929143
1929.41666666667,0.0285388851,0.0256896277
1929.5,0.026575364,0.0263543091
1929.58333333333,0.0261746408,0.024703208
1929.66666666667,0.0259564838,0.0284121945
1929.75,0.0250734174,0.0258488355
1929.83333333333,0.0229706396,0.0216515042
1929.91666666667,0.0227503356,0.020273905
1930,0.0244266225,0.0170919366
1930.08333333333,0.0375799203,0.0173179189
1930.16666666667,0.0470129858,0.016474762
1930.25,0.0495285568,0.016408065
1930.33333333333,0.0490389272,0.0157129921
1930.41666666667,0.0568534341,0.0150635839
1930.5,0.0782702087,0.0140997076
1930.58333333333,0.1060075762,0.0140800574
1930.66666666667,0.1258549253,0.013310919
1930.75,0.1453581632,0.0128524412
1930.83333333333,0.170998359,0.0130664044
1930.91666666667,0.1818703211,0.0126727736
1931,0.1610260958,0.0128030131
1931.08333333333,0.1584618253,0.0132017465
1931.16666666667,0.151085763,0.0132632389
1931.25,0.1450099385,0.0127587267
1931.33333333333,0.1419094259,0.0119269812
1931.41666666667,0.1432879729,0.0112569489
1931.5,0.1460522285,0.0113996412
1931.58333333333,0.1528834045,0.0109672865
1931.66666666667,0.1568750329,0.0099860828
1931.75,0.1630038464,0.0094713096
1931.83333333333,0.1733224352,0.0104201468
1931.91666666667,0.185082031,0.0104133429
1932,0.1775417601,0.0096114368
1932.08333333333,0.1860514419,0.0098460953
1932.16666666667,0.1993134594,0.0091222193
1932.25,0.2136208314,0.0079454136
1932.33333333333,0.2281637124,0.0078747906
1932.41666666667,0.2429135276,0.0079129464
1932.5,0.2512677483,0.0075739277
1932.58333333333,0.2553773287,0.0076439978
1932.66666666667,0.2520717665,0.0077864748
1932.75,0.2494344629,0.00838914
1932.83333333333,0.2448491449,0.0078878104
1932.91666666667,0.2461948158,0.0077745114
1933,0.2273101809,0.0078217271
1933.08333333333,0.2261536334,0.0075539954
1933.16666666667,0.2346956745,0.006196862
1933.25,0.2323072691,0.0075529739
1933.33333333333,0.2300205812,0.0077460305
1933.41666666667,0.2223478219,0.0085251032
1933.5,0.2094669393,0.0086103501
1933.58333333333,0.1954927839,0.0088953851
1933.66666666667,0.1856623694,0.007959043
1933.75,0.1826765517,0.0082718308
1933.83333333333,0.1821313381,0.0081822694
1933.91666666667,0.1797348566,0.0081239769
1934,0.1601593979,0.0088302398
1934.08333333333,0.1523229257,0.0087677627
1934.16666666667,0.1429171649,0.0084845298
1934.25,0.1413696328,0.0087881256
1934.33333333333,0.1440110523,0.0088763604
1934.41666666667,0.1501577351,0.0080743767
1934.5,0.1594714495,0.0080647972
1934.58333333333,0.1720433905,0.0077454457
1934.66666666667,0.1826214322,0.0077752174
1934.75,0.1829738795,0.0078228236
1934.83333333333,0.1820107671,0.0081456294
1934.91666666667,0.1739411726,0.008522007
1935,0.1523453287,0.0083659349
1935.08333333333,0.148996962,0.0083716918
1935.16666666667,0.1489363684,0.0087333827
1935.25,0.1483287619,0.0087042122
1935.33333333333,0.1491920038,0.0083808528
1935.41666666667,0.1509766646,0.0087034208
1935.5,0.1458859021,0.0090641419
1935.58333333333,0.1444000745,0.0089266134
1935.66666666667,0.147325541,0.009933998
1935.75,0.1371827654,0.0098382134
1935.83333333333,0.1294267924,0.0099846691
1935.91666666667,0.1238028352,0.0103054069
1936,0.1098310546,0.009810245
1936.08333333333,0.1084514247,0.01007655
1936.16666666667,0.1048010229,0.0119086563
1936.25,0.1082459141,0.0114362079
1936.33333333333,0.1009672786,0.0125396526
1936.41666666667,0.1016015939,0.0127592938
1936.5,0.0973336926,0.0126068105
1936.58333333333,0.0921621584,0.012964387
1936.66666666667,0.0917104166,0.0131849953
1936.75,0.0961150296,0.0129700805
1936.83333333333,0.0934283777,0.0136391324
1936.91666666667,0.0917520363,0.0134293006
1937,0.0887344673,0.0134676157
1937.08333333333,0.0893277055,0.0133473917
1937.16666666667,0.0885384285,0.0133516809
1937.25,0.0903143036,0.0138111438
1937.33333333333,0.086136519,0.0139034488
1937.41666666667,0.0884992795,0.013293171
1937.5,0.0844363142,0.0117117151
1937.58333333333,0.0855063133,0.0124135353
1937.66666666667,0.0887486357,0.0124066992
1937.75,0.0921831291,0.0109528264
1937.83333333333,0.1023115523,0.009307217
1937.91666666667,0.1168633519,0.0082329183
1938,0.1213576109,0.0084841533
1938.08333333333,0.1260652934,0.0082347401
1938.16666666667,0.1281335828,0.0080487472
1938.25,0.129455268,0.0077373989
1938.33333333333,0.1331438956,0.007506084
1938.41666666667,0.133637584,0.0074015969
1938.5,0.1299930892,0.0079668553
1938.58333333333,0.1268956782,0.0081250665
1938.66666666667,0.1229901759,0.0080594319
1938.75,0.1207528618,0.0084647973
1938.83333333333,0.1141695707,0.0088212867
1938.91666666667,0.1098053896,0.0085996797
1939,0.1193809961,0.0087139477
1939.08333333333,0.1191429062,0.0084891596
1939.16666666667,0.1182840372,0.0089436429
1939.25,0.1202644272,0.0088353968
1939.33333333333,0.1172794866,0.0086384677
1939.41666666667,0.1132637071,0.0090521992
1939.5,0.112550314,0.0090217208
1939.58333333333,0.1097281764,0.0089435804
1939.66666666667,0.1055118444,0.0090531857
1939.75,0.1069076107,0.0101860677
1939.83333333333,0.1064200993,0.0097901315
1939.91666666667,0.1036663946,0.0098970041
1940,0.105131424,0.0100787427
