Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,4,1,4,minmax,1,0.0023,1.67497927018692,3.16666666666652,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.72401340546469,3.16666666666606,0.999999999999091,6
SMA,4,0.9,8,minmax,1,0.0032,1.75396376498737,2.91666666666629,0,6
EMA,0.5,1,5,minmax,1,0.0027,1.78535710713517,2.24999999999932,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0025,1.86338998124923,2.16666666666606,0,4.99999999999818
EMA,0.5,0.7,8,minmax,1,0.007,1.87082869338636,1.99999999999955,-0.999999999999091,4.99999999999818
EMA,0.4,0.9,7,minmax,1,0.0027,1.93469779437334,1.91666666666629,-0.999999999999091,4.99999999999818
EMA,0.3,1,7,minmax,1,0.0014,2.19215773966065,1.83333333333303,-1.00000000000182,4.99999999999818
EMA,0.4,1,7,minmax,1,0.0019,2.27760839478553,1.74999999999955,-2.00000000000091,4.99999999999818
SMA,6,0.6,1,minmax,0.9,0.0018,2.52762514801689,1.66666666666606,-4.00000000000182,4.99999999999818
